iter	Logloss
0	0.6692745874
1	0.6468832009
2	0.6274317599
3	0.6084148788
4	0.5911909093
5	0.5762882174
6	0.5628833703
7	0.5501619544
8	0.5386462751
9	0.5268403238
10	0.5167173669
11	0.5087015149
12	0.5001651906
13	0.4937435558
14	0.4874151529
15	0.481740084
16	0.4764154896
17	0.4715338167
18	0.4654958978
19	0.463655072
20	0.4594918981
21	0.4559519562
22	0.4530552967
23	0.4504421966
24	0.4478006259
25	0.4460579399
26	0.4429467324
27	0.4399395115
28	0.4373134735
29	0.4351070722
30	0.4324649827
31	0.4304324368
32	0.4284382809
33	0.426777092
34	0.4247621535
35	0.4236558928
36	0.4221978047
37	0.420332108
38	0.4189018081
39	0.417662252
40	0.4159288629
41	0.4145194568
42	0.4130991683
43	0.4119921821
44	0.4112708068
45	0.4103813046
46	0.4094486694
47	0.4082801915
48	0.4073601957
49	0.4059276335
50	0.4051791678
51	0.4042548701
52	0.4031143369
53	0.4025466371
54	0.4015546408
55	0.4006835552
56	0.4000855964
57	0.3992343968
58	0.3985693226
59	0.3975862846
60	0.3968608234
61	0.3965487753
62	0.3962616691
63	0.3957917378
64	0.3946283596
65	0.3940647668
66	0.3934449875
67	0.3926971576
68	0.3922525415
69	0.3916912268
70	0.3911637162
71	0.3907026916
72	0.3904048528
73	0.3901995036
74	0.3898976654
75	0.3893294523
76	0.3888146625
77	0.3882569499
78	0.3876828975
79	0.3872654808
80	0.3870767309
81	0.3867407616
82	0.3864976486
83	0.3860437978
84	0.3853569942
85	0.3847970366
86	0.3844779416
87	0.384231166
88	0.3837330583
89	0.3834611929
90	0.3832117229
91	0.3830584031
92	0.382991455
93	0.3826405194
94	0.3822095665
95	0.3816831354
96	0.3814120397
97	0.3810924826
98	0.3809555908
99	0.3802617932
100	0.3799481002
101	0.3797177514
102	0.3796795975
103	0.379192373
104	0.3789050785
105	0.3782779069
106	0.3777859408
107	0.3776937856
108	0.3774799918
109	0.3772340404
110	0.3766401973
111	0.3760535352
112	0.3757207848
113	0.3754015225
114	0.3749937501
115	0.3748451991
116	0.3744366582
117	0.3741816705
118	0.3740238721
119	0.3737163513
120	0.3735484145
121	0.3733073454
122	0.3731094117
123	0.3729363572
124	0.3727082919
125	0.3726438857
126	0.3719797168
127	0.3717827645
128	0.3714055033
129	0.3710389127
130	0.3710210883
131	0.3708015693
132	0.3702830216
133	0.3701837658
134	0.3701746352
135	0.3699177527
136	0.3696898039
137	0.3694124821
138	0.3691551642
139	0.3690797619
140	0.3688380789
141	0.3688020412
142	0.3687410294
143	0.3686588161
144	0.3684208874
145	0.3682639288
146	0.3678629895
147	0.3675267718
148	0.3673809803
149	0.3672602378
150	0.3670755088
151	0.366954544
152	0.366844257
153	0.3667689902
154	0.3667111647
155	0.3661910565
156	0.3661668213
157	0.3659753508
158	0.3654542505
159	0.365313755
160	0.3648966489
161	0.3647540272
162	0.3647315128
163	0.3645060904
164	0.3644007919
165	0.3640527877
166	0.363706196
167	0.3635103735
168	0.3633847469
169	0.3633847469
170	0.3632521325
171	0.3629569027
172	0.3629166712
173	0.3626841373
174	0.3625573927
175	0.3624619317
176	0.3623532522
177	0.362144586
178	0.3621398129
179	0.3620287593
180	0.3618258345
181	0.36169969
182	0.3614208791
183	0.3613009208
184	0.3613009208
185	0.3611878308
186	0.3610531081
187	0.3608350766
188	0.3606851221
189	0.3604351697
190	0.3602999779
191	0.360273277
192	0.3602273162
193	0.3600260335
194	0.3598275175
195	0.3598041135
196	0.3597463354
197	0.3595671389
198	0.3593542716
199	0.3592156752
200	0.3589377194
201	0.3587347936
202	0.3585261637
203	0.3582384368
204	0.3580427035
205	0.3578136208
206	0.3576151582
207	0.3574651855
208	0.3572261262
209	0.3570758447
210	0.3569961951
211	0.3567921235
212	0.3567290135
213	0.3565223155
214	0.3564090841
215	0.3558689246
216	0.3554168307
217	0.355245314
218	0.3549126075
