iter	Passed	Remaining
0	113	24807
1	237	25788
2	364	26237
3	506	27222
4	634	27149
5	753	26763
6	877	26581
7	1008	26586
8	1132	26430
9	1256	26252
10	1375	26015
11	1492	25744
12	1620	25682
13	1750	25629
14	1881	25588
15	2010	25507
16	2148	25524
17	2270	25351
18	2386	25118
19	2429	24174
20	2544	23990
21	2665	23867
22	2789	23769
23	2910	23646
24	3031	23523
25	3115	23127
26	3242	23058
27	3368	22976
28	3490	22868
29	3627	22850
30	3743	22701
31	3869	22610
32	4019	22655
33	4152	22592
34	4281	22509
35	4444	22594
36	4586	22559
37	4728	22524
38	4856	22415
39	4974	22261
40	5095	22123
41	5217	21987
42	5344	21873
43	5463	21728
44	5583	21589
45	5713	21486
46	5834	21349
47	5962	21242
48	6094	21144
49	6236	21080
50	6379	21015
51	6500	20876
52	6618	20731
53	6738	20588
54	6855	20441
55	6973	20298
56	7095	20167
57	7212	20020
58	7327	19870
59	7451	19747
60	7580	19634
61	7707	19516
62	7790	19291
63	7908	19153
64	8029	19023
65	8145	18882
66	8263	18746
67	8410	18675
68	8532	18548
69	8668	18450
70	8823	18392
71	8966	18306
72	9127	18255
73	9259	18143
74	9420	18086
75	9541	17952
76	9682	17856
77	9814	17740
78	9944	17623
79	10077	17509
80	10235	17438
81	10371	17328
82	10499	17203
83	10633	17089
84	10757	16958
85	10876	16820
86	10993	16680
87	11114	16545
88	11233	16408
89	11351	16270
90	11470	16134
91	11600	16013
92	11713	15869
93	11855	15765
94	11997	15660
95	12130	15541
96	12254	15413
97	12381	15287
98	12504	15156
99	12653	15058
100	12778	14929
101	12898	14795
102	12973	14611
103	13099	14484
104	13232	14366
105	13374	14257
106	13500	14130
107	13594	13971
108	13729	13855
109	13850	13725
110	13981	13604
111	14108	13478
112	14231	13349
113	14346	13214
114	14465	13082
115	14641	13000
116	14770	12876
117	14887	12742
118	15006	12610
119	15123	12476
120	15242	12345
121	15362	12214
122	15481	12083
123	15602	11953
124	15722	11823
125	15807	11667
126	15931	11540
127	16056	11415
128	16191	11296
129	16322	11174
130	16370	10996
131	16489	10868
132	16616	10744
133	16744	10621
134	16804	10455
135	16925	10329
136	17044	10201
137	17186	10087
138	17312	9963
139	17435	9838
140	17558	9713
141	17642	9566
142	17773	9445
143	17891	9318
144	18016	9194
145	18144	9072
146	18271	8949
147	18404	8828
148	18521	8701
149	18644	8576
150	18766	8451
151	18899	8330
152	19023	8206
153	19164	8088
154	19264	7954
155	19385	7828
156	19439	7676
157	19553	7549
158	19672	7423
159	19786	7296
160	19910	7172
161	20027	7046
162	20144	6920
163	20269	6797
164	20402	6677
165	20534	6556
166	20661	6433
167	20782	6308
168	20915	6188
169	20945	6037
170	21067	5913
171	21189	5790
172	21264	5654
173	21383	5530
174	21498	5405
175	21620	5282
176	21752	5161
177	21888	5041
178	21955	4906
179	22084	4785
180	22205	4661
181	22321	4537
182	22438	4414
183	22528	4285
184	22555	4145
185	22685	4024
186	22802	3902
187	22923	3779
188	23059	3660
189	23193	3540
190	23347	3422
191	23429	3294
192	23550	3172
193	23669	3050
194	23790	2928
195	23880	2802
196	24000	2680
197	24120	2558
198	24245	2436
199	24376	2315
200	24500	2194
201	24649	2074
202	24807	1955
203	24956	1835
204	25087	1713
205	25246	1593
206	25386	1471
207	25504	1348
208	25629	1226
209	25752	1103
210	25872	980
211	25997	858
212	26142	736
213	26267	613
214	26396	491
215	26519	368
216	26644	245
217	26761	122
218	26895	0
